Ensembl Gene ID	Ensembl Transcript ID	dN	% Identity with respect to query gene	Mouse Ensembl Gene ID	dS
ENSG00000105229	ENST00000593518	0.04240	90	ENSMUSG00000004934	1.41950
ENSG00000105229	ENST00000596144	0.04240	90	ENSMUSG00000004934	1.41950
ENSG00000105229	ENST00000601439	0.04240	90	ENSMUSG00000004934	1.41950
ENSG00000258873	ENST00000554048	16.34160	2	ENSMUSG00000075045	5.31420
ENSG00000258873	ENST00000554048	6.90400	2	ENSMUSG00000058537	4.16410
ENSG00000176170	ENST00000591651	0.13140	66	ENSMUSG00000061878	0.95280
ENSG00000176170	ENST00000545180	0.13140	66	ENSMUSG00000061878	0.95280
ENSG00000176170	ENST00000588682	0.13140	66	ENSMUSG00000061878	0.95280
ENSG00000176170	ENST00000591762	0.13140	66	ENSMUSG00000061878	0.95280
ENSG00000176170	ENST00000590379	0.13140	66	ENSMUSG00000061878	0.95280
ENSG00000176170	ENST00000592299	0.13140	66	ENSMUSG00000061878	0.95280
ENSG00000176170	ENST00000590959	0.13140	66	ENSMUSG00000061878	0.95280
ENSG00000176170	ENST00000323374	0.13140	66	ENSMUSG00000061878	0.95280
ENSG00000176170	ENST00000392496	0.13140	66	ENSMUSG00000061878	0.95280
ENSG00000176170	ENST00000587167	0.13140	66	ENSMUSG00000061878	0.95280
ENSG00000197905	ENST00000358409	0.03210	92	ENSMUSG00000030353	0.62150
ENSG00000197905	ENST00000540314	0.03210	92	ENSMUSG00000030353	0.62150
ENSG00000197905	ENST00000536826	0.03210	92	ENSMUSG00000030353	0.62150
ENSG00000197905	ENST00000359864	0.03210	92	ENSMUSG00000030353	0.62150
ENSG00000197905	ENST00000543035	0.03210	92	ENSMUSG00000030353	0.62150
ENSG00000197905	ENST00000397122	0.03210	92	ENSMUSG00000030353	0.62150
ENSG00000197905	ENST00000443986	0.03210	92	ENSMUSG00000030353	0.62150
ENSG00000197905	ENST00000544666	0.03210	92	ENSMUSG00000030353	0.62150
ENSG00000109705	ENST00000382438	0.07540	85	ENSMUSG00000049691	0.86650
ENSG00000089225	ENST00000349716	0.01820	96	ENSMUSG00000018263	0.80820
ENSG00000089225	ENST00000310346	0.01820	96	ENSMUSG00000018263	0.80820
ENSG00000089225	ENST00000405440	0.01820	96	ENSMUSG00000018263	0.80820
ENSG00000089225	ENST00000526441	0.01820	96	ENSMUSG00000018263	0.80820
ENSG00000089225	ENST00000552726	0.01820	96	ENSMUSG00000018263	0.80820
ENSG00000168062	ENST00000301887	0.29600	62	ENSMUSG00000039699	0.68240
ENSG00000168062	ENST00000435842	0.29600	62	ENSMUSG00000039699	0.68240
ENSG00000168062	ENST00000527454	0.29600	62	ENSMUSG00000039699	0.68240
ENSG00000168062	ENST00000527716	0.29600	62	ENSMUSG00000039699	0.68240
ENSG00000168062	ENST00000534177	0.29600	62	ENSMUSG00000039699	0.68240
ENSG00000118620	ENST00000261560	0.43360	39	ENSMUSG00000042063	0.92250
ENSG00000118620	ENST00000599548	0.43360	39	ENSMUSG00000042063	0.92250
ENSG00000118620	ENST00000594110	0.43360	39	ENSMUSG00000042063	0.92250
ENSG00000118620	ENST00000595833	0.43360	39	ENSMUSG00000042063	0.92250
ENSG00000118620	ENST00000595401	0.43360	39	ENSMUSG00000042063	0.92250
ENSG00000118620	ENST00000597922	0.43360	39	ENSMUSG00000042063	0.92250
ENSG00000108813	ENST00000503410	0.13590	76	ENSMUSG00000020871	0.61400
ENSG00000108813	ENST00000240306	0.13590	76	ENSMUSG00000020871	0.61400
ENSG00000108813	ENST00000505318	0.13590	76	ENSMUSG00000020871	0.61400
ENSG00000108813	ENST00000503276	0.13590	76	ENSMUSG00000020871	0.61400
ENSG00000108813	ENST00000411890	0.13590	76	ENSMUSG00000020871	0.61400
ENSG00000108813	ENST00000611342	0.13590	76	ENSMUSG00000020871	0.61400
ENSG00000070476	ENST00000514463	0.12120	77	ENSMUSG00000034430	0.52260
ENSG00000070476	ENST00000389709	0.12120	77	ENSMUSG00000034430	0.52260
ENSG00000070476	ENST00000515545	0.12120	77	ENSMUSG00000034430	0.52260
ENSG00000070476	ENST00000336332	0.12120	77	ENSMUSG00000034430	0.52260
ENSG00000166211	ENST00000551346	0.20380	65	ENSMUSG00000004359	0.67990
ENSG00000132170	ENST00000397010	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000397029	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000309576	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000397015	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000455517	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000397012	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000397026	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000497594	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000438682	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000397000	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000477039	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000287820	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000397023	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000132170	ENST00000396999	0.01940	96	ENSMUSG00000000440	0.43860
ENSG00000152439	ENST00000593916				
ENSG00000152439	ENST00000598770				
ENSG00000152439	ENST00000599847				
ENSG00000152439	ENST00000282292				
ENSG00000152439	ENST00000597061				
ENSG00000152439	ENST00000601958				
ENSG00000204231	ENST00000374685	0.01560	94	ENSMUSG00000039656	0.32640
ENSG00000204231	ENST00000374680	0.01560	94	ENSMUSG00000039656	0.32640
ENSG00000204231	ENST00000483281	0.01560	94	ENSMUSG00000039656	0.32640
ENSG00000204231	ENST00000483821	0.01560	94	ENSMUSG00000039656	0.32640
ENSG00000204231	ENST00000481441	0.01560	94	ENSMUSG00000039656	0.32640
ENSG00000144802	ENST00000461724	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000144802	ENST00000483180	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000144802	ENST00000394054	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000144802	ENST00000326151	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000144802	ENST00000326172	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000144802	ENST00000486444	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000144802	ENST00000491281	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000144802	ENST00000465476	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000144802	ENST00000477601	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000144802	ENST00000495089	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000144802	ENST00000495719	0.10090	82	ENSMUSG00000035356	0.60170
ENSG00000267508	ENST00000614994				
ENSG00000267508	ENST00000544719				
ENSG00000267508	ENST00000591679				
ENSG00000267508	ENST00000585868				
ENSG00000267508	ENST00000589738				
ENSG00000267508	ENST00000622707				
ENSG00000197779	ENST00000376954	0.44320	40	ENSMUSG00000030469	1.23700
ENSG00000197779	ENST00000376954	0.43400	37	ENSMUSG00000055102	1.54360
ENSG00000197779	ENST00000334937	0.44320	40	ENSMUSG00000030469	1.23700
ENSG00000197779	ENST00000334937	0.43400	37	ENSMUSG00000055102	1.54360
ENSG00000197779	ENST00000376950	0.44320	40	ENSMUSG00000030469	1.23700
ENSG00000197779	ENST00000376950	0.43400	37	ENSMUSG00000055102	1.54360
ENSG00000197779	ENST00000483520	0.44320	40	ENSMUSG00000030469	1.23700
ENSG00000197779	ENST00000483520	0.43400	37	ENSMUSG00000055102	1.54360
ENSG00000197779	ENST00000338637	0.44320	40	ENSMUSG00000030469	1.23700
ENSG00000197779	ENST00000338637	0.43400	37	ENSMUSG00000055102	1.54360
ENSG00000171956	ENST00000396057	0.00120	100	ENSMUSG00000059246	0.96560
ENSG00000171956	ENST00000560857	0.00120	100	ENSMUSG00000059246	0.96560
ENSG00000171956	ENST00000558693	0.00120	100	ENSMUSG00000059246	0.96560
ENSG00000174306	ENST00000421422	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000309060	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000560364	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000559234	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000544979	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000559436	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000558993	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000560361	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000432768	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000441102	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000373261	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000436440	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000436099	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000419740	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000487057	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000561291	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000485686	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000560759	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000560456	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000559028	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000559296	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000174306	ENST00000540170	0.07820	85	ENSMUSG00000035877	0.51540
ENSG00000074219	ENST00000598810	0.02990	92	ENSMUSG00000030796	0.79930
ENSG00000074219	ENST00000593945	0.02990	92	ENSMUSG00000030796	0.79930
ENSG00000074219	ENST00000601519	0.02990	92	ENSMUSG00000030796	0.79930
ENSG00000074219	ENST00000311227	0.02990	92	ENSMUSG00000030796	0.79930
ENSG00000074219	ENST00000377214	0.02990	92	ENSMUSG00000030796	0.79930
ENSG00000074219	ENST00000539846	0.02990	92	ENSMUSG00000030796	0.79930
ENSG00000074219	ENST00000598823	0.02990	92	ENSMUSG00000030796	0.79930
ENSG00000074219	ENST00000598397	0.02990	92	ENSMUSG00000030796	0.79930
ENSG00000074219	ENST00000596757	0.02990	92	ENSMUSG00000030796	0.79930
ENSG00000074219	ENST00000595233	0.02990	92	ENSMUSG00000030796	0.79930
ENSG00000131848	ENST00000391713	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000592355	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000587340	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000587492	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000593106	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000592101	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000592509	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000588955	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000588442	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000592679	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000590675	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000586031	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000591078	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000589279	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000585670	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000587075	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000131848	ENST00000587614	0.61950	35	ENSMUSG00000058028	1.60170
ENSG00000198169	ENST00000524394	0.16090	69	ENSMUSG00000022526	0.83730
ENSG00000198169	ENST00000292562	0.16090	69	ENSMUSG00000022526	0.83730
ENSG00000198169	ENST00000525191	0.16090	69	ENSMUSG00000022526	0.83730
ENSG00000198169	ENST00000530353	0.16090	69	ENSMUSG00000022526	0.83730
ENSG00000169900	ENST00000568383	0.30110	62	ENSMUSG00000030793	2.91060
ENSG00000169900	ENST00000302964	0.30110	62	ENSMUSG00000030793	2.91060
ENSG00000204514	ENST00000597652				
ENSG00000204514	ENST00000596604				
ENSG00000204514	ENST00000597342				
ENSG00000204514	ENST00000597832				
ENSG00000204514	ENST00000595894				
ENSG00000204514	ENST00000595295				
ENSG00000204514	ENST00000596184				
ENSG00000204514	ENST00000597348				
ENSG00000204514	ENST00000600634				
ENSG00000204514	ENST00000595048				
ENSG00000204514	ENST00000594629				
ENSG00000204514	ENST00000594159				
ENSG00000204514	ENST00000435989				
ENSG00000204514	ENST00000597807				
ENSG00000204514	ENST00000614383				
ENSG00000168453	ENST00000381418	0.12170	80	ENSMUSG00000022096	0.55300
ENSG00000168453	ENST00000312841	0.12170	80	ENSMUSG00000022096	0.55300
ENSG00000168453	ENST00000522016	0.12170	80	ENSMUSG00000022096	0.55300
ENSG00000168453	ENST00000522039	0.12170	80	ENSMUSG00000022096	0.55300
ENSG00000168453	ENST00000517699	0.12170	80	ENSMUSG00000022096	0.55300
ENSG00000168453	ENST00000518461	0.12170	80	ENSMUSG00000022096	0.55300
ENSG00000168453	ENST00000519619	0.12170	80	ENSMUSG00000022096	0.55300
ENSG00000168453	ENST00000522759	0.12170	80	ENSMUSG00000022096	0.55300
ENSG00000168453	ENST00000518377	0.12170	80	ENSMUSG00000022096	0.55300
ENSG00000148337	ENST00000471773	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000485862	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000372954	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000461765	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000277465	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000372948	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000372938	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000415526	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000471839	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000491487	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000485001	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000476727	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000476541	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000475471	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000476239	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000488559	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000467178	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000491954	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000498156	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000324544	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000474442	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000420484	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000538431	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000357558	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000148337	ENST00000393608	0.20640	61	ENSMUSG00000039205	0.64010
ENSG00000152475	ENST00000427624				
ENSG00000152475	ENST00000597582				
ENSG00000137074	ENST00000379825	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000494649	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000397172	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000465003	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000485479	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000379817	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000467331	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000472896	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000483148	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000482687	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000460940	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000379819	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000479656	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000468275	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000474658	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000463596	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000476858	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000495360	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000486724	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000379812	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000473221	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000464632	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000478279	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000480031	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000477119	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000496030	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000460945	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000494973	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000473270	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000489583	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000309615	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000436040	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000137074	ENST00000379813	0.10520	82	ENSMUSG00000028411	0.38430
ENSG00000186951	ENST00000440343	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000415785	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000420804	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000460086	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000407236	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000496865	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000624793	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000484619	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000481567	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000402126	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000493286	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000186951	ENST00000262735	0.03620	92	ENSMUSG00000022383	0.81540
ENSG00000116580	ENST00000437809	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000473267	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000271883	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000460075	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000483032	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000361040	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000471341	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000497369	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000490801	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000496021	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000482386	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000466224	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000467009	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000468867	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000488251	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000615926	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000368331	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000622608	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000116580	ENST00000620426	0.15450	74	ENSMUSG00000054199	0.52050
ENSG00000172006	ENST00000317243				
ENSG00000172006	ENST00000590116				
ENSG00000172006	ENST00000591265				
ENSG00000172006	ENST00000588534				
ENSG00000213921	ENST00000396841				
ENSG00000240225	ENST00000467807				
ENSG00000240225	ENST00000462524				
ENSG00000240225	ENST00000589844				
ENSG00000240225	ENST00000490123				
ENSG00000240225	ENST00000468396				
ENSG00000240225	ENST00000488113				
ENSG00000240225	ENST00000495307				
ENSG00000240225	ENST00000596094				
ENSG00000240225	ENST00000587341				
ENSG00000240225	ENST00000595222				
ENSG00000240225	ENST00000587208				
ENSG00000240225	ENST00000482727				
ENSG00000167085	ENST00000300408	0.00170	100	ENSMUSG00000038845	0.44790
ENSG00000167085	ENST00000511933	0.00170	100	ENSMUSG00000038845	0.44790
ENSG00000167085	ENST00000419140	0.00170	100	ENSMUSG00000038845	0.44790
ENSG00000167085	ENST00000504124	0.00170	100	ENSMUSG00000038845	0.44790
