Ensembl Gene ID	Ensembl Transcript ID	dN	dS	Chromosome Name	Chimpanzee Ensembl Gene ID	% Identity with respect to query gene
ENSG00000170448	ENST00000502448	0.00350	0.01290	4	ENSPTRG00000016035	99
ENSG00000170448	ENST00000381538	0.00350	0.01290	4	ENSPTRG00000016035	99
ENSG00000170448	ENST00000464756	0.00350	0.01290	4	ENSPTRG00000016035	99
ENSG00000170448	ENST00000507489	0.00350	0.01290	4	ENSPTRG00000016035	99
ENSG00000170448	ENST00000507131	0.00350	0.01290	4	ENSPTRG00000016035	99
ENSG00000170448	ENST00000508115	0.00350	0.01290	4	ENSPTRG00000016035	99
ENSG00000170448	ENST00000511452	0.00350	0.01290	4	ENSPTRG00000016035	99
ENSG00000170448	ENST00000329043	0.00350	0.01290	4	ENSPTRG00000016035	99
ENSG00000205213	ENST00000379214	0.00270	0.01210	11	ENSPTRG00000028697	93
ENSG00000205213	ENST00000389858	0.00270	0.01210	11	ENSPTRG00000028697	93
ENSG00000205213	ENST00000489910	0.00270	0.01210	11	ENSPTRG00000028697	93
ENSG00000205213	ENST00000530658	0.00270	0.01210	11	ENSPTRG00000028697	93
ENSG00000205213	ENST00000527773	0.00270	0.01210	11	ENSPTRG00000028697	93
ENSG00000205213	ENST00000480977	0.00270	0.01210	11	ENSPTRG00000028697	93
ENSG00000165684	ENST00000298532	0.00890	0.03280	9	ENSPTRG00000021554	72
ENSG00000083642	ENST00000315596	0.00180	0.00820	13	ENSPTRG00000005771	100
ENSG00000083642	ENST00000482955	0.00180	0.00820	13	ENSPTRG00000005771	100
ENSG00000083642	ENST00000498550	0.00180	0.00820	13	ENSPTRG00000005771	100
ENSG00000083642	ENST00000450460	0.00180	0.00820	13	ENSPTRG00000005771	100
ENSG00000083642	ENST00000493653	0.00180	0.00820	13	ENSPTRG00000005771	100
ENSG00000083642	ENST00000466078	0.00180	0.00820	13	ENSPTRG00000005771	100
ENSG00000083642	ENST00000481616	0.00180	0.00820	13	ENSPTRG00000005771	100
ENSG00000083642	ENST00000447833	0.00180	0.00820	13	ENSPTRG00000005771	100
ENSG00000083642	ENST00000474274	0.00180	0.00820	13	ENSPTRG00000005771	100
ENSG00000134070	ENST00000256458	0.00470	0.01330	3	ENSPTRG00000014615	93
ENSG00000105717	ENST00000558276	0.00620	0.01350	19	ENSPTRG00000010744	99
ENSG00000105717	ENST00000557978	0.00620	0.01350	19	ENSPTRG00000010744	99
ENSG00000105717	ENST00000251203	0.00620	0.01350	19	ENSPTRG00000010744	99
ENSG00000105717	ENST00000558222	0.00620	0.01350	19	ENSPTRG00000010744	99
ENSG00000105717	ENST00000559735	0.00620	0.01350	19	ENSPTRG00000010744	99
ENSG00000186766	ENST00000388920	0.00930	0.05680	10	ENSPTRG00000003052	98
ENSG00000152443	ENST00000317178			19		
ENSG00000152443	ENST00000473585			19		
ENSG00000152443	ENST00000431353			19		
ENSG00000152443	ENST00000451849			19		
ENSG00000152443	ENST00000489376			19		
ENSG00000105229	ENST00000262971	0.00000	0.02990	19	ENSPTRG00000010290	65
ENSG00000105229	ENST00000599999	0.00000	0.02990	19	ENSPTRG00000010290	65
ENSG00000105229	ENST00000600566	0.00000	0.02990	19	ENSPTRG00000010290	65
ENSG00000105229	ENST00000593518	0.00000	0.02990	19	ENSPTRG00000010290	65
ENSG00000105229	ENST00000596144	0.00000	0.02990	19	ENSPTRG00000010290	65
ENSG00000105229	ENST00000601439	0.00000	0.02990	19	ENSPTRG00000010290	65
ENSG00000258873	ENST00000554048	0.00460	0.01210	19	ENSPTRG00000028871	99
ENSG00000176170	ENST00000591651	0.00410	0.02410	17	ENSPTRG00000009679	94
ENSG00000176170	ENST00000545180	0.00410	0.02410	17	ENSPTRG00000009679	94
ENSG00000176170	ENST00000588682	0.00410	0.02410	17	ENSPTRG00000009679	94
ENSG00000176170	ENST00000591762	0.00410	0.02410	17	ENSPTRG00000009679	94
ENSG00000176170	ENST00000590379	0.00410	0.02410	17	ENSPTRG00000009679	94
ENSG00000176170	ENST00000592299	0.00410	0.02410	17	ENSPTRG00000009679	94
ENSG00000176170	ENST00000590959	0.00410	0.02410	17	ENSPTRG00000009679	94
ENSG00000176170	ENST00000323374	0.00410	0.02410	17	ENSPTRG00000009679	94
ENSG00000176170	ENST00000392496	0.00410	0.02410	17	ENSPTRG00000009679	94
ENSG00000176170	ENST00000587167	0.00410	0.02410	17	ENSPTRG00000009679	94
ENSG00000197905	ENST00000358409	0.00300	0.02280	12	ENSPTRG00000004538	100
ENSG00000197905	ENST00000540314	0.00300	0.02280	12	ENSPTRG00000004538	100
ENSG00000197905	ENST00000536826	0.00300	0.02280	12	ENSPTRG00000004538	100
ENSG00000197905	ENST00000359864	0.00300	0.02280	12	ENSPTRG00000004538	100
ENSG00000197905	ENST00000543035	0.00300	0.02280	12	ENSPTRG00000004538	100
ENSG00000197905	ENST00000397122	0.00300	0.02280	12	ENSPTRG00000004538	100
ENSG00000197905	ENST00000443986	0.00300	0.02280	12	ENSPTRG00000004538	100
ENSG00000197905	ENST00000544666	0.00300	0.02280	12	ENSPTRG00000004538	100
ENSG00000109705	ENST00000382438	0.00000	0.03270	4	ENSPTRG00000031253	65
ENSG00000089225	ENST00000349716	0.00090	0.02540	12	ENSPTRG00000005496	100
ENSG00000089225	ENST00000310346	0.00090	0.02540	12	ENSPTRG00000005496	100
ENSG00000089225	ENST00000405440	0.00090	0.02540	12	ENSPTRG00000005496	100
ENSG00000089225	ENST00000526441	0.00090	0.02540	12	ENSPTRG00000005496	100
ENSG00000089225	ENST00000552726	0.00090	0.02540	12	ENSPTRG00000005496	100
ENSG00000168062	ENST00000301887	0.01000	0.00970	11	ENSPTRG00000003856	98
ENSG00000168062	ENST00000435842	0.01000	0.00970	11	ENSPTRG00000003856	98
ENSG00000168062	ENST00000527454	0.01000	0.00970	11	ENSPTRG00000003856	98
ENSG00000168062	ENST00000527716	0.01000	0.00970	11	ENSPTRG00000003856	98
ENSG00000168062	ENST00000534177	0.01000	0.00970	11	ENSPTRG00000003856	98
ENSG00000118620	ENST00000261560	0.00700	0.01750	19	ENSPTRG00000010760	98
ENSG00000118620	ENST00000599548	0.00700	0.01750	19	ENSPTRG00000010760	98
ENSG00000118620	ENST00000594110	0.00700	0.01750	19	ENSPTRG00000010760	98
ENSG00000118620	ENST00000595833	0.00700	0.01750	19	ENSPTRG00000010760	98
ENSG00000118620	ENST00000595401	0.00700	0.01750	19	ENSPTRG00000010760	98
ENSG00000118620	ENST00000597922	0.00700	0.01750	19	ENSPTRG00000010760	98
ENSG00000108813	ENST00000503410	0.00370	0.01780	17	ENSPTRG00000009385	99
ENSG00000108813	ENST00000240306	0.00370	0.01780	17	ENSPTRG00000009385	99
ENSG00000108813	ENST00000505318	0.00370	0.01780	17	ENSPTRG00000009385	99
ENSG00000108813	ENST00000503276	0.00370	0.01780	17	ENSPTRG00000009385	99
ENSG00000108813	ENST00000411890	0.00370	0.01780	17	ENSPTRG00000009385	99
ENSG00000108813	ENST00000611342	0.00370	0.01780	17	ENSPTRG00000009385	99
ENSG00000070476	ENST00000514463	0.00270	0.01270	3	ENSPTRG00000015332	99
ENSG00000070476	ENST00000389709	0.00270	0.01270	3	ENSPTRG00000015332	99
ENSG00000070476	ENST00000515545	0.00270	0.01270	3	ENSPTRG00000015332	99
ENSG00000070476	ENST00000336332	0.00270	0.01270	3	ENSPTRG00000015332	99
ENSG00000166211	ENST00000551346	0.00170	0.00670	12	ENSPTRG00000005351	100
ENSG00000132170	ENST00000397010	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000397029	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000309576	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000397015	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000455517	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000397012	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000397026	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000497594	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000438682	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000397000	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000477039	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000287820	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000397023	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000132170	ENST00000396999	0.00110	0.01120	3	ENSPTRG00000014632	100
ENSG00000152439	ENST00000593916	0.00890	0.02050	19	ENSPTRG00000011558	98
ENSG00000152439	ENST00000598770	0.00890	0.02050	19	ENSPTRG00000011558	98
ENSG00000152439	ENST00000599847	0.00890	0.02050	19	ENSPTRG00000011558	98
ENSG00000152439	ENST00000282292	0.00890	0.02050	19	ENSPTRG00000011558	98
ENSG00000152439	ENST00000597061	0.00890	0.02050	19	ENSPTRG00000011558	98
ENSG00000152439	ENST00000601958	0.00890	0.02050	19	ENSPTRG00000011558	98
ENSG00000204231	ENST00000374685	0.00000	0.00740	6	ENSPTRG00000018034	100
ENSG00000204231	ENST00000374680	0.00000	0.00740	6	ENSPTRG00000018034	100
ENSG00000204231	ENST00000483281	0.00000	0.00740	6	ENSPTRG00000018034	100
ENSG00000204231	ENST00000483821	0.00000	0.00740	6	ENSPTRG00000018034	100
ENSG00000204231	ENST00000481441	0.00000	0.00740	6	ENSPTRG00000018034	100
ENSG00000144802	ENST00000461724	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000144802	ENST00000483180	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000144802	ENST00000394054	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000144802	ENST00000326151	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000144802	ENST00000326172	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000144802	ENST00000486444	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000144802	ENST00000491281	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000144802	ENST00000465476	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000144802	ENST00000477601	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000144802	ENST00000495089	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000144802	ENST00000495719	0.00130	0.00820	3	ENSPTRG00000015179	100
ENSG00000267508	ENST00000614994	0.02030	0.05320	19	ENSPTRG00000012475	96
ENSG00000267508	ENST00000544719	0.02030	0.05320	19	ENSPTRG00000012475	96
ENSG00000267508	ENST00000591679	0.02030	0.05320	19	ENSPTRG00000012475	96
ENSG00000267508	ENST00000585868	0.02030	0.05320	19	ENSPTRG00000012475	96
ENSG00000267508	ENST00000589738	0.02030	0.05320	19	ENSPTRG00000012475	96
ENSG00000267508	ENST00000622707	0.02030	0.05320	19	ENSPTRG00000012475	96
ENSG00000197779	ENST00000376954	0.00070	0.00500	X	ENSPTRG00000023331	92
ENSG00000197779	ENST00000334937	0.00070	0.00500	X	ENSPTRG00000023331	92
ENSG00000197779	ENST00000376950	0.00070	0.00500	X	ENSPTRG00000023331	92
ENSG00000197779	ENST00000483520	0.00070	0.00500	X	ENSPTRG00000023331	92
ENSG00000197779	ENST00000338637	0.00070	0.00500	X	ENSPTRG00000023331	92
ENSG00000171956	ENST00000396057	0.00000	0.00000	15	ENSPTRG00000007131	100
ENSG00000171956	ENST00000560857	0.00000	0.00000	15	ENSPTRG00000007131	100
ENSG00000171956	ENST00000558693	0.00000	0.00000	15	ENSPTRG00000007131	100
ENSG00000174306	ENST00000421422	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000309060	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000560364	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000559234	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000544979	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000559436	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000558993	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000560361	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000432768	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000441102	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000373261	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000436440	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000436099	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000419740	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000487057	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000561291	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000485686	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000560759	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000560456	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000559028	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000559296	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000174306	ENST00000540170	0.00300	0.00380	20	ENSPTRG00000013501	99
ENSG00000074219	ENST00000598810	0.00300	0.01530	19	ENSPTRG00000011290	93
ENSG00000074219	ENST00000593945	0.00300	0.01530	19	ENSPTRG00000011290	93
ENSG00000074219	ENST00000601519	0.00300	0.01530	19	ENSPTRG00000011290	93
ENSG00000074219	ENST00000311227	0.00300	0.01530	19	ENSPTRG00000011290	93
ENSG00000074219	ENST00000377214	0.00300	0.01530	19	ENSPTRG00000011290	93
ENSG00000074219	ENST00000539846	0.00300	0.01530	19	ENSPTRG00000011290	93
ENSG00000074219	ENST00000598823	0.00300	0.01530	19	ENSPTRG00000011290	93
ENSG00000074219	ENST00000598397	0.00300	0.01530	19	ENSPTRG00000011290	93
ENSG00000074219	ENST00000596757	0.00300	0.01530	19	ENSPTRG00000011290	93
ENSG00000074219	ENST00000595233	0.00300	0.01530	19	ENSPTRG00000011290	93
ENSG00000131848	ENST00000391713	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000592355	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000587340	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000587492	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000593106	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000592101	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000592509	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000588955	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000588442	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000592679	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000590675	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000586031	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000591078	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000589279	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000585670	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000587075	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000131848	ENST00000587614	0.00580	0.00700	19	ENSPTRG00000011537	99
ENSG00000198169	ENST00000524394	0.00790	0.01350	8	ENSPTRG00000024143	91
ENSG00000198169	ENST00000292562	0.00790	0.01350	8	ENSPTRG00000024143	91
ENSG00000198169	ENST00000525191	0.00790	0.01350	8	ENSPTRG00000024143	91
ENSG00000198169	ENST00000530353	0.00790	0.01350	8	ENSPTRG00000024143	91
ENSG00000169900	ENST00000568383	0.00000	0.09780	16	ENSPTRG00000008041	100
ENSG00000169900	ENST00000302964	0.00000	0.09780	16	ENSPTRG00000008041	100
ENSG00000204514	ENST00000597652	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000596604	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000597342	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000597832	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000595894	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000595295	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000596184	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000597348	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000600634	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000595048	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000594629	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000594159	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000435989	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000597807	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000204514	ENST00000614383	0.00710	0.04230	19	ENSPTRG00000028864	78
ENSG00000168453	ENST00000381418	0.00720	0.01300	8	ENSPTRG00000020050	98
ENSG00000168453	ENST00000312841	0.00720	0.01300	8	ENSPTRG00000020050	98
ENSG00000168453	ENST00000522016	0.00720	0.01300	8	ENSPTRG00000020050	98
ENSG00000168453	ENST00000522039	0.00720	0.01300	8	ENSPTRG00000020050	98
ENSG00000168453	ENST00000517699	0.00720	0.01300	8	ENSPTRG00000020050	98
ENSG00000168453	ENST00000518461	0.00720	0.01300	8	ENSPTRG00000020050	98
ENSG00000168453	ENST00000519619	0.00720	0.01300	8	ENSPTRG00000020050	98
ENSG00000168453	ENST00000522759	0.00720	0.01300	8	ENSPTRG00000020050	98
ENSG00000168453	ENST00000518377	0.00720	0.01300	8	ENSPTRG00000020050	98
ENSG00000148337	ENST00000471773			9		
ENSG00000148337	ENST00000485862			9		
ENSG00000148337	ENST00000372954			9		
ENSG00000148337	ENST00000461765			9		
ENSG00000148337	ENST00000277465			9		
ENSG00000148337	ENST00000372948			9		
ENSG00000148337	ENST00000372938			9		
ENSG00000148337	ENST00000415526			9		
ENSG00000148337	ENST00000471839			9		
ENSG00000148337	ENST00000491487			9		
ENSG00000148337	ENST00000485001			9		
ENSG00000148337	ENST00000476727			9		
ENSG00000148337	ENST00000476541			9		
ENSG00000148337	ENST00000475471			9		
ENSG00000148337	ENST00000476239			9		
ENSG00000148337	ENST00000488559			9		
ENSG00000148337	ENST00000467178			9		
ENSG00000148337	ENST00000491954			9		
ENSG00000148337	ENST00000498156			9		
ENSG00000148337	ENST00000324544			9		
ENSG00000148337	ENST00000474442			9		
ENSG00000148337	ENST00000420484			9		
ENSG00000148337	ENST00000538431			9		
ENSG00000148337	ENST00000357558			9		
ENSG00000148337	ENST00000393608			9		
ENSG00000152475	ENST00000427624			19		
ENSG00000152475	ENST00000597582			19		
ENSG00000137074	ENST00000379825	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000494649	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000397172	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000465003	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000485479	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000379817	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000467331	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000472896	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000483148	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000482687	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000460940	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000379819	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000479656	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000468275	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000474658	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000463596	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000476858	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000495360	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000486724	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000379812	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000473221	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000464632	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000478279	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000480031	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000477119	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000496030	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000460945	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000494973	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000473270	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000489583	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000309615	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000436040	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000137074	ENST00000379813	0.00310	0.00270	9	ENSPTRG00000020850	99
ENSG00000186951	ENST00000440343	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000415785	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000420804	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000460086	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000407236	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000496865	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000624793	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000484619	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000481567	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000402126	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000493286	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000186951	ENST00000262735	0.00100	0.01730	22	ENSPTRG00000014505	100
ENSG00000116580	ENST00000437809	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000473267	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000271883	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000460075	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000483032	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000361040	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000471341	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000497369	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000490801	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000496021	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000482386	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000466224	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000467009	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000468867	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000488251	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000615926	0.00310	0.01130	1	ENSPTRG00000001433	97
ENSG00000116580	ENST00000368331	0.00310	0.01130	1	ENSPTRG00000001433	97
